0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
20.8333333333333,37.5,41.6666666666667,6,2,2,0,2,2,0,0,0,3,0,2,1,1,3,3,0,0,1,1,T
34.6153846153846,30.7692307692308,34.6153846153846,6,1,2,1,3,2,6,0,4,1,0,2,1,1,1,1,0,1,0,1,T
27.2727272727273,42.4242424242424,30.3030303030303,8,0,2,2,2,0,6,1,4,2,1,2,2,0,2,4,1,2,4,3,T
25,39.2857142857143,35.7142857142857,6,2,1,2,4,1,4,1,2,5,0,2,2,1,1,0,0,0,2,2,T
25,42.3076923076923,32.6923076923077,8,4,3,0,3,1,7,1,3,5,7,2,4,2,4,3,1,2,3,1,T
27.2727272727273,30.3030303030303,42.4242424242424,6,1,0,0,4,2,2,1,1,2,1,4,5,0,1,3,0,0,3,1,T
22.9166666666667,43.75,33.3333333333333,8,2,3,0,3,1,4,2,2,4,2,3,6,2,0,3,1,2,1,2,T
20.3703703703704,50,29.6296296296296,8,3,4,2,5,1,7,1,1,8,7,4,4,1,5,4,1,2,4,5,T
20.8333333333333,58.3333333333333,20.8333333333333,6,2,2,0,2,0,3,0,1,2,1,3,2,0,0,1,1,1,0,3,T
27.5862068965517,37.9310344827586,34.4827586206897,6,2,0,2,2,2,4,2,1,6,1,2,2,0,1,1,1,0,2,0,T
30.6122448979592,34.6938775510204,34.6938775510204,8,0,3,0,1,3,3,2,2,4,1,3,5,4,2,3,3,1,2,0,T
25,39.2857142857143,35.7142857142857,6,2,1,1,2,1,5,1,1,7,0,1,2,1,2,0,0,1,1,2,T
22.2222222222222,44.4444444444444,33.3333333333333,10,3,4,0,1,3,6,0,2,6,2,3,3,1,1,4,0,2,3,1,T
17.2413793103448,34.4827586206897,48.2758620689655,6,0,1,1,2,1,2,1,2,6,2,1,3,1,0,2,0,0,3,1,T
18.9189189189189,48.6486486486486,32.4324324324324,8,0,4,1,1,0,3,2,3,3,2,2,2,1,2,1,1,2,2,0,T
13.3333333333333,33.3333333333333,53.3333333333333,6,0,0,0,1,0,2,0,4,7,0,1,2,1,2,2,0,3,1,1,T
29.4117647058824,41.1764705882353,29.4117647058824,8,0,1,3,2,2,5,1,3,3,1,0,0,1,3,0,0,1,2,0,T
34.2105263157895,44.7368421052632,21.0526315789474,6,2,0,0,3,3,5,2,6,0,5,4,1,0,0,0,0,3,3,1,T
19.3548387096774,41.9354838709677,38.7096774193548,6,1,0,1,4,0,3,0,1,2,3,2,2,0,2,1,1,0,2,1,T
37.9310344827586,37.9310344827586,24.1379310344828,6,1,0,0,0,1,2,0,2,2,0,4,1,2,1,2,2,1,3,1,T
18.5185185185185,51.8518518518519,29.6296296296296,8,2,4,0,2,3,7,1,2,7,7,1,3,1,3,4,2,6,2,1,T
17.3076923076923,46.1538461538462,36.5384615384615,8,5,4,0,4,1,6,0,3,5,5,1,6,2,3,3,2,2,1,3,T
33.3333333333333,48.4848484848485,18.1818181818182,6,1,4,0,2,2,6,1,2,2,3,4,3,0,0,0,0,0,0,2,T
26.6666666666667,46.6666666666667,26.6666666666667,8,1,5,0,4,0,3,0,2,2,1,3,1,0,2,2,0,0,2,1,T
23.0769230769231,48.0769230769231,28.8461538461538,8,4,3,0,4,0,8,1,2,3,4,2,3,1,7,2,3,2,4,3,T
16.1290322580645,45.1612903225806,38.7096774193548,8,1,0,0,3,1,2,1,3,1,2,1,4,1,2,4,1,0,0,1,T
20.8333333333333,54.1666666666667,25,6,1,1,0,0,0,3,1,1,2,1,1,1,0,5,1,2,3,1,0,T
26.0869565217391,43.4782608695652,30.4347826086957,6,2,0,2,2,0,4,0,3,1,1,5,0,0,1,1,0,1,0,1,T
20.8333333333333,54.1666666666667,25,6,2,1,1,1,1,2,1,0,1,0,1,0,0,3,1,1,2,1,1,T
33.3333333333333,42.5925925925926,24.0740740740741,8,5,3,0,3,1,11,2,1,4,2,4,3,4,3,4,1,3,2,3,T
31.4285714285714,40,28.5714285714286,8,0,0,0,2,1,8,1,5,1,3,1,2,3,0,0,1,1,1,1,T
34.375,40.625,25,6,1,1,1,2,2,4,1,1,1,4,4,1,0,1,5,0,1,3,1,T
20,56,24,6,2,0,1,0,2,2,0,0,1,1,1,2,0,2,1,1,3,1,1,T
28,44,28,6,0,3,0,1,0,3,0,2,3,1,3,1,0,0,0,0,0,1,1,T
22.2222222222222,59.2592592592593,18.5185185185185,6,2,2,0,2,0,4,1,0,2,1,2,1,0,3,0,0,4,0,2,T
26.9230769230769,38.4615384615385,34.6153846153846,6,3,1,0,2,0,9,1,3,1,0,5,2,0,1,1,0,7,1,2,T
28.8888888888889,35.5555555555556,35.5555555555556,8,1,2,1,2,4,7,2,6,4,0,2,3,0,1,1,1,0,0,2,T
24.4444444444444,37.7777777777778,37.7777777777778,8,2,2,2,2,2,7,1,8,3,0,2,3,0,1,1,1,1,0,1,T
25.9259259259259,44.4444444444444,29.6296296296296,6,1,4,0,3,2,3,1,1,2,1,2,2,2,3,1,2,0,2,1,T
15.3846153846154,42.3076923076923,42.3076923076923,6,1,1,0,2,0,7,0,3,3,1,3,1,0,3,0,0,1,0,2,T
22.5,42.5,35,6,5,3,2,3,3,4,3,2,7,2,3,4,1,1,7,0,4,3,0,T
23.3333333333333,43.3333333333333,33.3333333333333,6,2,3,1,4,2,3,1,1,6,1,1,1,1,1,0,0,1,2,2,T
17.2413793103448,41.3793103448276,41.3793103448276,6,1,4,1,3,0,4,1,1,7,1,1,2,0,0,2,0,1,0,2,T
37.5,33.3333333333333,29.1666666666667,6,0,0,0,3,2,3,0,1,0,1,3,2,0,1,1,0,0,1,1,T
23.5294117647059,44.1176470588235,32.3529411764706,6,2,3,1,2,2,5,1,3,3,1,2,1,0,2,1,0,4,1,1,T
17.2413793103448,48.2758620689655,34.4827586206897,6,0,5,0,4,0,2,1,1,3,1,2,2,0,2,1,1,1,1,1,T
13.3333333333333,33.3333333333333,53.3333333333333,6,0,2,0,1,0,3,0,5,6,0,0,2,1,3,1,0,2,1,0,T
22.2222222222222,47.2222222222222,30.5555555555556,6,4,2,0,2,2,4,3,6,4,4,2,0,2,2,3,0,1,1,2,T
40.9090909090909,40.9090909090909,18.1818181818182,6,1,2,0,0,1,2,1,1,0,0,5,3,2,1,0,0,0,1,1,T
27.5862068965517,41.3793103448276,31.0344827586207,6,2,0,0,2,1,3,4,3,3,1,3,2,0,2,1,0,0,2,1,T
29.5454545454545,43.1818181818182,27.2727272727273,8,1,3,0,0,1,2,2,1,4,1,2,4,4,3,1,1,2,5,1,T
28.5714285714286,33.3333333333333,38.0952380952381,6,0,1,0,0,0,4,0,2,5,1,2,1,0,0,0,0,0,0,1,T
16.6666666666667,50,33.3333333333333,6,3,2,0,5,0,4,3,3,0,0,2,1,1,2,1,0,1,1,2,T
23.8095238095238,41.2698412698413,34.9206349206349,9,2,3,0,4,3,11,4,5,4,2,1,3,0,3,5,1,2,3,3,T
30.5555555555556,50,19.4444444444444,6,4,0,2,0,2,4,2,2,1,4,4,2,2,2,2,0,3,2,2,T
40.9090909090909,40.9090909090909,18.1818181818182,6,3,0,0,3,0,5,0,1,0,0,1,2,0,0,1,1,1,5,0,T
40,36,24,6,3,0,0,3,0,5,0,1,0,0,1,2,0,0,1,1,1,5,0,T
15.3846153846154,38.4615384615385,46.1538461538462,6,1,0,0,1,2,0,2,3,3,0,1,3,1,2,0,0,1,0,1,T
24.1379310344828,44.8275862068966,31.0344827586207,6,3,1,0,2,1,2,1,2,3,0,4,1,1,3,0,3,1,1,1,T
18.75,59.375,21.875,8,0,3,0,4,0,2,2,1,3,2,5,0,0,2,1,2,2,0,1,T
15.3846153846154,50,34.6153846153846,8,4,5,0,5,1,7,0,3,3,5,0,8,2,3,1,1,4,1,5,T
31.5789473684211,39.4736842105263,28.9473684210526,8,1,2,0,2,2,8,2,3,1,1,1,2,1,1,3,0,1,1,1,T
30.5555555555556,50,19.4444444444444,6,2,5,0,0,0,6,0,3,1,1,2,4,2,1,0,0,4,2,1,T
25.9259259259259,48.1481481481481,25.9259259259259,6,0,3,0,0,0,4,2,2,3,2,1,0,1,3,0,1,2,4,0,T
24.1379310344828,37.9310344827586,37.9310344827586,6,0,1,1,0,2,1,1,3,4,1,4,4,1,0,2,1,1,3,1,T
16.1290322580645,41.9354838709677,41.9354838709677,6,3,0,0,3,0,3,1,4,5,0,1,1,1,2,4,2,1,2,1,T
25,42.8571428571429,32.1428571428571,6,2,2,1,1,1,4,1,2,3,1,1,2,0,3,1,0,2,2,0,T
11.5384615384615,53.8461538461538,34.6153846153846,6,2,1,0,1,0,2,0,2,2,1,1,0,1,2,3,0,4,0,1,T
12.5,54.1666666666667,33.3333333333333,6,1,0,2,0,1,1,0,3,3,1,0,1,0,1,3,3,2,1,2,T
37.9310344827586,37.9310344827586,24.1379310344828,6,2,2,0,0,3,4,2,1,4,1,3,2,0,1,1,1,1,2,1,T
20,43.3333333333333,36.6666666666667,6,1,1,0,1,2,0,1,2,5,1,4,2,0,1,2,1,2,1,2,T
16,56,28,6,1,2,2,1,0,2,0,3,1,0,1,0,1,2,1,1,0,1,3,T
23.0769230769231,50,26.9230769230769,6,1,1,1,2,1,4,1,1,1,1,1,1,0,2,1,0,2,1,0,T
30,50,20,6,2,4,0,0,4,1,4,4,1,1,3,1,1,1,0,1,0,1,1,T
32,44,24,6,2,0,1,2,1,7,1,3,2,2,2,0,0,0,1,0,0,0,0,T
24.4444444444444,37.7777777777778,37.7777777777778,8,0,1,0,4,0,2,2,4,6,0,3,1,1,1,3,0,2,5,4,T
30,40,30,6,1,3,1,4,3,3,1,0,6,1,2,2,1,0,0,0,1,2,2,T
42.3076923076923,30.7692307692308,26.9230769230769,6,0,0,0,0,1,4,0,2,4,1,5,0,0,1,0,0,1,1,0,T
27.906976744186,37.2093023255814,34.8837209302326,8,2,1,0,2,0,5,0,4,3,1,5,1,1,2,4,2,2,1,0,T
25,37.5,37.5,8,0,2,0,2,1,4,0,4,4,2,2,2,0,1,1,0,0,2,3,T
24,60,16,6,3,2,0,2,0,2,0,1,0,2,3,2,0,0,1,0,2,2,2,T
22.4489795918367,46.9387755102041,30.6122448979592,8,3,5,2,2,1,6,0,0,7,4,6,5,1,4,2,0,2,1,1,T
25,39.2857142857143,35.7142857142857,6,2,1,0,1,0,4,1,1,5,1,3,2,0,1,2,1,2,0,0,T
21.5686274509804,49.0196078431373,29.4117647058824,8,2,3,1,3,0,8,1,3,6,5,4,2,1,2,3,3,3,1,2,T
18.3673469387755,42.8571428571429,38.7755102040816,8,2,2,0,4,0,6,0,1,9,7,4,4,0,7,2,1,4,2,0,T
27.2727272727273,45.4545454545455,27.2727272727273,8,0,2,2,2,0,8,0,4,6,1,1,1,0,1,2,1,3,2,4,T
17.3076923076923,46.1538461538462,36.5384615384615,8,4,6,1,4,1,4,1,3,5,6,2,5,3,4,2,0,3,1,2,T
25,47.2222222222222,27.7777777777778,6,3,3,0,0,0,6,1,2,3,2,3,5,1,1,2,2,1,2,1,T
23.3333333333333,53.3333333333333,23.3333333333333,6,3,2,1,5,0,5,1,2,0,1,4,2,0,0,1,0,1,1,2,T
32.7272727272727,41.8181818181818,25.4545454545455,8,3,4,0,3,0,11,1,2,3,5,5,4,2,3,4,2,3,4,0,T
14.8148148148148,40.7407407407407,44.4444444444444,6,2,2,0,1,0,2,0,4,4,4,1,2,0,2,0,0,0,1,1,T
23.0769230769231,50,26.9230769230769,6,3,0,0,0,1,3,0,3,3,0,2,1,1,0,1,0,5,1,1,T
40.9090909090909,40.9090909090909,18.1818181818182,6,1,0,0,3,0,5,1,1,0,0,1,1,0,1,1,1,1,5,1,T
16.6666666666667,41.6666666666667,41.6666666666667,6,0,4,0,4,0,2,2,2,2,0,1,2,0,2,0,0,0,3,1,T
24.3243243243243,45.9459459459459,29.7297297297297,8,1,3,1,0,2,4,2,2,5,3,2,2,1,4,1,0,0,1,0,T
39.3939393939394,36.3636363636364,24.2424242424242,6,1,1,0,2,3,7,0,2,3,2,2,4,1,0,0,1,0,0,1,T
35.8974358974359,35.8974358974359,28.2051282051282,8,0,1,0,2,4,5,0,1,2,1,4,4,1,3,2,2,2,1,0,T
23.8095238095238,45.2380952380952,30.952380952381,8,0,2,1,1,3,3,1,1,6,2,1,3,0,1,1,2,1,3,2,T
17.8571428571429,39.2857142857143,42.8571428571429,6,2,2,0,2,0,2,1,1,6,0,1,2,1,2,1,2,1,1,0,T
24,48,28,6,2,1,0,1,0,5,0,1,2,2,2,2,0,2,0,3,2,1,0,T
